County,State (Code),Deaths,Population,Crude Rate Per 100000
Anderson County, SC (45007),16,"196,569",Unreliable
Beaufort County, SC (45013),13,"183,149",Unreliable
Charleston County, SC (45019),36,"396,484",9.1
Dorchester County, SC (45035),13,"153,773",Unreliable
Georgetown County, SC (45043),15,"61,399",Unreliable
Greenville County, SC (45045),52,"498,766",10.4
Horry County, SC (45051),35,"322,342",10.9
Laurens County, SC (45059),13,"66,777",Unreliable
Lexington County, SC (45063),33,"286,196",11.5
Richland County, SC (45079),32,"409,549",7.8
Spartanburg County, SC (45083),37,"301,463",12.3
York County, SC (45091),21,"258,526",8.1
Minnehaha County, SD (46099),23,"187,318",12.3
Anderson County, TN (47001),11,"75,936",Unreliable
Blount County, TN (47009),21,"128,670",16.3
Bradley County, TN (47011),10,"104,490",Unreliable
Coffee County, TN (47031),15,"54,682",Unreliable
Davidson County, TN (47037),46,"684,410",6.7
Hamilton County, TN (47065),44,"357,738",12.3
Knox County, TN (47093),55,"456,132",12.1
McMinn County, TN (47107),11,"52,850",Unreliable
Montgomery County, TN (47125),19,"195,734",Unreliable
Rutherford County, TN (47149),16,"308,251",Unreliable
Shelby County, TN (47157),54,"934,603",5.8
Sullivan County, TN (47163),23,"156,667",14.7
Sumner County, TN (47165),16,"180,063",Unreliable
Washington County, TN (47179),14,"127,440",Unreliable
Williamson County, TN (47187),19,"219,107",Unreliable
Wilson County, TN (47189),20,"132,781",15.1
Anderson County, TX (48001),11,"57,734",Unreliable
Bell County, TX (48027),29,"340,411",8.5
Bexar County, TX (48029),174,"1,928,680",9
Brazoria County, TX (48039),19,"354,195",Unreliable
Brazos County, TX (48041),10,"220,417",Unreliable
Cameron County, TX (48061),27,"422,135",6.4
Collin County, TX (48085),50,"939,585",5.3
Comal County, TX (48091),14,"134,788",Unreliable
Dallas County, TX (48113),172,"2,574,984",6.7
Denton County, TX (48121),51,"806,180",6.3
Ellis County, TX (48139),17,"168,499",Unreliable
El Paso County, TX (48141),49,"837,918",5.8
Fort Bend County, TX (48157),36,"741,237",4.9
Galveston County, TX (48167),36,"329,431",10.9
Grayson County, TX (48181),15,"128,235",Unreliable
Gregg County, TX (48183),20,"123,745",16.2
Guadalupe County, TX (48187),16,"155,265",Unreliable
Harris County, TX (48201),231,"4,589,928",5
Hays County, TX (48209),18,"204,470",Unreliable
Henderson County, TX (48213),13,"79,901",Unreliable
Hidalgo County, TX (48215),47,"849,843",5.5
Hood County, TX (48221),12,"56,857",Unreliable
Jefferson County, TX (48245),25,"254,679",9.8
Johnson County, TX (48251),15,"163,274",Unreliable
Kaufman County, TX (48257),13,"118,350",Unreliable
Lubbock County, TX (48303),23,"303,137",7.6
McLennan County, TX (48309),27,"247,934",10.9
Montgomery County, TX (48339),43,"556,203",7.7
Nueces County, TX (48355),27,"361,350",7.5
Parker County, TX (48367),10,"129,441",Unreliable
Potter County, TX (48375),14,"120,832",Unreliable
Randall County, TX (48381),10,"132,501",Unreliable
Rockwall County, TX (48397),10,"93,978",Unreliable
Smith County, TX (48423),16,"225,290",Unreliable
Tarrant County, TX (48439),194,"2,016,872",9.6
Taylor County, TX (48441),12,"136,535",Unreliable
Tom Green County, TX (48451),22,"118,386",18.6
Travis County, TX (48453),86,"1,199,323",7.2
Van Zandt County, TX (48467),11,"54,355",Unreliable
Wichita County, TX (48485),24,"131,838",18.2
